S.No.,Division,Opening Balance,Received,% Share,Closed,Closing Balance,% Disposal,Avg. Disposal Time,Avg. Rating,Avg. Pendency Time,Forwarded,Avg. FRT
20,DELHI DIVISION (Northern Railway),6,340,3.73,338,8,97.69,0:39,Satisfactory,0:18,473,0:18
37,KHARAGPUR DIVISION (South Eastern Railway),2,307,3.37,280,29,90.61,0:40,Satisfactory,0:28,232,0:25
40,KHURDA DIVISION (East Coast Railway),4,295,3.24,293,6,97.99,0:31,Excellent,0:21,215,0:09
21,DANAPUR DIVISION (East Central Railway),3,284,3.12,283,4,98.61,0:27,Satisfactory,0:18,247,0:04
41,LUCKNOW DIVISION (North Eastern Railway),5,277,3.04,280,2,99.29,0:19,Excellent,0:11,232,0:06
43,LUMDING DIVISION (Northeast Frontier Railway),18,265,2.91,273,10,96.47,1:32,Satisfactory,0:47,149,0:04
29,IRC (IRCTC),2,258,2.83,258,2,99.23,0:26,UnSatisfactory,0:09,210,-
54,PRAYAGRAJ DIVISION (North Central Railway),2,248,2.72,247,3,98.80,0:12,Satisfactory,0:08,341,0:02
33,JHANSI DIVISION (North Central Railway),5,225,2.47,228,2,99.13,0:21,Satisfactory,0:11,205,0:12
64,BANGALORE DIVISION (South Western Railway),1,211,2.32,206,6,97.17,0:25,Satisfactory,0:23,164,0:20
52,IRCTC NORTH ZONE (IRCTC),1,206,2.26,207,0,100.00,1:06,Satisfactory,0:18,49,-
32,JABALPUR DIVISION (West Central Railway),7,203,2.23,208,2,99.05,0:26,Satisfactory,0:13,200,0:12
7,MUMBAI DIVISION (Western Railway),5,202,2.22,205,2,99.03,0:19,Satisfactory,0:08,167,0:07
17,BOMBAY DIVISION (Central Railway),3,202,2.22,201,4,98.05,0:26,Satisfactory,0:12,250,0:08
22,IRCTC EAST ZONE (IRCTC),2,186,2.04,188,0,100.00,1:24,Satisfactory,0:34,73,-
42,LUCKNOW DIVISION (Northern Railway),5,173,1.90,173,5,97.19,0:46,Satisfactory,0:15,283,0:05
79,IRCTC WEST ZONE (IRCTC),5,172,1.89,177,0,100.00,1:15,Satisfactory,0:16,35,-
12,BHUSAVAL DIVISION (Central Railway),2,170,1.87,170,2,98.84,0:12,Satisfactory,0:09,306,0:08
1,AHMEDABAD DIVISION (Western Railway),0,162,1.78,162,0,100.00,0:20,Satisfactory,0:08,137,0:02
44,CHENNAI DIVISION (Southern Railway),5,161,1.77,161,5,96.99,0:30,Satisfactory,0:24,226,0:09
9,BHOPAL DIVISION (West Central Railway),4,159,1.75,159,4,97.55,0:16,Satisfactory,0:11,268,0:09
3,AGRA DIVISION (North Central Railway),5,157,1.72,161,1,99.38,0:16,Satisfactory,0:08,135,0:03
11,VARANASI DIVISION (North Eastern Railway),1,152,1.67,152,1,99.35,0:20,Satisfactory,0:09,190,0:03
74,TINSUKIA DIVISION (Northeast Frontier Railway),1,150,1.65,147,4,97.35,0:28,Satisfactory,0:24,152,0:08
71,SAMASTIPUR DIVISION (East Central Railway),0,145,1.59,143,2,98.62,0:24,Satisfactory,0:10,146,0:09
